id,judul,isi,kategori,input_text,urgency,intent,location,object,sentiment,summary
220220,Jalan Berlubang di Jalan Raya Jakarta-Bogor,"Banyak jalan berlubang sepanjang Jalan Raya Jakarta-Bogor. Jalur yang saya lewati dari KM 32 s.d. KM 47, dimana jalan berlubang ada di dua sisi jalan (dari dan ke arah Bogor). Mohon segera diperbaiki.",Infrastruktur,"Judul: Jalan Berlubang di Jalan Raya Jakarta-Bogor
Laporan: Banyak jalan berlubang sepanjang Jalan Raya Jakarta-Bogor. Jalur yang saya lewati dari KM 32 s.d. KM 47, dimana jalan berlubang ada di dua sisi jalan (dari dan ke arah Bogor). Mohon segera diperbaiki.",medium,report,Jalan Raya Jakarta-Bogor KM 32 s.d. KM 47,jalan berlubang,negatif,Banyak jalan berlubang di Jalan Raya Jakarta-Bogor
220387,"Permasalahan Pembangunan di Desa Tembongwah, Tegal","Saya Agus Salim, Kepala Desa Tembongwah, Kecamatan Balapulang, Kabupaten Tegal. Ingin melaporkan masalah-masalah dalam desa kami:1. Bidang infrastuktur: jalan belum disentun oleh proyek Kementerian Pekerjaan Umum. Panjang jalan gang 8km. Sebagiannya masih tanah. Sebagian lagi rusak parah.2. Bidang pendidikan: 50 tamat SD, 40 gagal sekolah, 10 tamat SMP.3. Bidang kesehatan: banyak balita kena giji buruk, tumor basah, katarak, dan bibir sumbing.Apakah pemerintah memiliki perhatian khusus untuk menyelesaikan masalah di desa kami? Karena menurut kami masalah di desa terpencil seperti kami penting untuk ditindaklanjuti.Data Desa Tembongwah:Luas 311,045 ha; 4 RW dan 21 RT.Batas utara Desa Danareja; Timur Desa Cikura, Selatan Desa Danasari; Barat Desa Cilongok.Lahan desa diperuntukan untuk: 1. sawah 68,775 ha; 2. perkebonan 192,647 ha; 3 pemukiman 32,285 ha; 4 untuk makam 8050 m.Jarak dengan kantor kecamatan 19 km; dari kantor Kabupaten 23 km; dari kantor Propinsi 200 km; dari pusat 420 km.Penduduk 1100 kepala keluarga atau 5500 jiwa.Mata pencaharian: buruh tani.Jumlah perangkat desa: 8 orang terdiri 1 Kepala Desa; 2 Sekretaris Desa; 4 Kepala Seksi; 2 Kepala Urusan; Badan Permusyawaratan Desa (BPD) 5 orang; Lembaga Ketahanan Masyarakat Desa 10 orang.",Bidang Kesejahteraan Rakyat,"Judul: Permasalahan Pembangunan di Desa Tembongwah, Tegal
Laporan: Saya Agus Salim, Kepala Desa Tembongwah, Kecamatan Balapulang, Kabupaten Tegal. Ingin melaporkan masalah-masalah dalam desa kami:1. Bidang infrastuktur: jalan belum disentun oleh proyek Kementerian Pekerjaan Umum. Panjang jalan gang 8km. Sebagiannya masih tanah. Sebagian lagi rusak parah.2. Bidang pendidikan: 50 tamat SD, 40 gagal sekolah, 10 tamat SMP.3. Bidang kesehatan: banyak balita kena giji buruk, tumor basah, katarak, dan bibir sumbing.Apakah pemerintah memiliki perhatian khusus untuk menyelesaikan masalah di desa kami? Karena menurut kami masalah di desa terpencil seperti kami penting untuk ditindaklanjuti.Data Desa Tembongwah:Luas 311,045 ha; 4 RW dan 21 RT.Batas utara Desa Danareja; Timur Desa Cikura, Selatan Desa Danasari; Barat Desa Cilongok.Lahan desa diperuntukan untuk: 1. sawah 68,775 ha; 2. perkebonan 192,647 ha; 3 pemukiman 32,285 ha; 4 untuk makam 8050 m.Jarak dengan kantor kecamatan 19 km; dari kantor Kabupaten 23 km; dari kantor Propinsi 200 km; dari pusat 420 km.Penduduk 1100 kepala keluarga atau 5500 jiwa.Mata pencaharian: buruh tani.Jumlah perangkat desa: 8 orang terdiri 1 Kepala Desa; 2 Sekretaris Desa; 4 Kepala Seksi; 2 Kepala Urusan; Badan Permusyawaratan Desa (BPD) 5 orang; Lembaga Ketahanan Masyarakat Desa 10 orang.",medium,report,"Desa Tembongwah, Kecamatan Balapulang, Kabupaten Tegal","jalan rusak, masalah pendidikan, kesehatan balita",negatif,"Laporan permasalahan infrastruktur, pendidikan, dan kesehatan di Desa Tembongwah"
220995,"Dana Sertifikasi Guru di Tanjungbalai, Sumatera Utara Belum Dibayar","Kepada Yth. Menteri Pendidikan dan Kebudayaan,Kenapa dana sertifikasi di Tanjungbalai, Sumatera Utara untuk bulan November-Desember 2012 tidak dicairkan? Dana yang tidak dibayar adalah untuk guru PNS di semua tingkatan (SD SMP SMA SMK). Contoh beberapa NUPTK:ElSA SIAGIAN NUPTK 2659733635300002 dan Desy Anggraeni NUPTK 6538 7566583000 23 guru SMK, beserta ratusan guru lainnya.Mohon perhatiannya. Terima kasih.Dari Saut Sitorus, Ketua Asosiasi Guru Bersatu Tanjungbalai.",Pendidikan,"Judul: Dana Sertifikasi Guru di Tanjungbalai, Sumatera Utara Belum Dibayar
Laporan: Kepada Yth. Menteri Pendidikan dan Kebudayaan,Kenapa dana sertifikasi di Tanjungbalai, Sumatera Utara untuk bulan November-Desember 2012 tidak dicairkan? Dana yang tidak dibayar adalah untuk guru PNS di semua tingkatan (SD SMP SMA SMK). Contoh beberapa NUPTK:ElSA SIAGIAN NUPTK 2659733635300002 dan Desy Anggraeni NUPTK 6538 7566583000 23 guru SMK, beserta ratusan guru lainnya.Mohon perhatiannya. Terima kasih.Dari Saut Sitorus, Ketua Asosiasi Guru Bersatu Tanjungbalai.",medium,question,"Tanjungbalai, Sumatera Utara",dana sertifikasi guru PNS,negatif,Guru di Tanjungbalai belum dibayarkan dana sertifikasi
221269,Harapan Petani Tebu di Jember Akan Pinjaman Lunak,"Kami petani tebu berharap agar pemerintah dapat memberi pinjaman lunak dengan bunga 12 per tahun. Selama ini petani tebu saja dapat meminjam biaya garap ke PT Perkebunan Nusantara X1 Semboro sebanyak Rp. RP 3.500.000,- per ha dengan bunga 10 per tahun. Kami juga dapat meminjam ke Asosiasi Petani Tebu Rakyat Semboro Rawat Ratun sebanyak Rp. 4.000.000,- per ha dengan bunga 10 per tahun. Sementara itu, Koperasi Usaha Rakyat di Jember tidak berjalan.Apakah pemerintah memiliki rencana untuk memberi bantuan atau pinjaman dana kepada petani tebu?",Sosial,"Judul: Harapan Petani Tebu di Jember Akan Pinjaman Lunak
Laporan: Kami petani tebu berharap agar pemerintah dapat memberi pinjaman lunak dengan bunga 12 per tahun. Selama ini petani tebu saja dapat meminjam biaya garap ke PT Perkebunan Nusantara X1 Semboro sebanyak Rp. RP 3.500.000,- per ha dengan bunga 10 per tahun. Kami juga dapat meminjam ke Asosiasi Petani Tebu Rakyat Semboro Rawat Ratun sebanyak Rp. 4.000.000,- per ha dengan bunga 10 per tahun. Sementara itu, Koperasi Usaha Rakyat di Jember tidak berjalan.Apakah pemerintah memiliki rencana untuk memberi bantuan atau pinjaman dana kepada petani tebu?",medium,suggestion,Jember,pinjaman lunak untuk petani tebu,netral,Petani tebu meminta pinjaman lunak dengan bunga rendah.
222409,Indikasi Pungutan Liar Biaya Pembuatan E-KTP di Bekasi Utara,"Apakah benar pembuatan E-KTP harus membayar Rp. 5.000 per KTP? Karena di desa saya, Desa Pusaka Rakyat, Kecamatan Tarumajaya, Kabupaten Bekasi Utara, saya dikenakan biaya sebesar itu. Padahal info yang saya terima, biaya E-KTP adalah gratis.Seperti apa aturan yang sebenarnya? Dan jika memang aturan sebenarnya tidak dikenakan biaya, kami meminta uang kami dikembalikan beserta permintaan maaf dari aparat.",Administrasi,"Judul: Indikasi Pungutan Liar Biaya Pembuatan E-KTP di Bekasi Utara
Laporan: Apakah benar pembuatan E-KTP harus membayar Rp. 5.000 per KTP? Karena di desa saya, Desa Pusaka Rakyat, Kecamatan Tarumajaya, Kabupaten Bekasi Utara, saya dikenakan biaya sebesar itu. Padahal info yang saya terima, biaya E-KTP adalah gratis.Seperti apa aturan yang sebenarnya? Dan jika memang aturan sebenarnya tidak dikenakan biaya, kami meminta uang kami dikembalikan beserta permintaan maaf dari aparat.",medium,report,"Desa Pusaka Rakyat, Kecamatan Tarumajaya, Kabupaten Bekasi Utara",Pungutan liar biaya pembuatan E-KTP,negatif,Laporan pengaduan pungutan liar biaya E-KTP di Desa Pusaka Rakyat
222594,"Sering Padam Lampu di Kebun Jeruk, Jakarta","Saya Chandra. Ingin melaporkan bahwa sering terjadi pemadam listrik Kebun Jeruk 17, Kelurahan Maphar, Kecamatan Tamansari, Jakarta Barat. Tolong ditinjau.",Infrastruktur,"Judul: Sering Padam Lampu di Kebun Jeruk, Jakarta
Laporan: Saya Chandra. Ingin melaporkan bahwa sering terjadi pemadam listrik Kebun Jeruk 17, Kelurahan Maphar, Kecamatan Tamansari, Jakarta Barat. Tolong ditinjau.",medium,report,"Kebun Jeruk 17, Kelurahan Maphar, Kecamatan Tamansari, Jakarta Barat",pemadam listrik sering padam,negatif,Sering terjadi pemadaman listrik di Kebun Jeruk 17
234809,Akses Data Penggunaan Anggaran Kecamatan Kelurahan di DKI Jakarta,Saya ingin menanyakan bagaimana caranya untuk mengakses data penggunaan anggaran di tingkat kecamatan dan kelurahan di wilayah provinsi DKI Jakarta?,Administrasi,"Judul: Akses Data Penggunaan Anggaran Kecamatan Kelurahan di DKI Jakarta
Laporan: Saya ingin menanyakan bagaimana caranya untuk mengakses data penggunaan anggaran di tingkat kecamatan dan kelurahan di wilayah provinsi DKI Jakarta?",low,question,DKI Jakarta,akses data penggunaan anggaran kecamatan dan kelurahan,netral,Pengguna bertanya tentang cara mengakses data anggaran kec/kel DKI Jakarta
234948,Bangunan tanpa IMB di Kelapa Gading,"Yth. Pemprov DKI Jakarta, tolong diperiksa bangunan di Jl. Kelapa Puyuh 5 Blok KF No 32 RT 004 RW 019 Kelurahan Kelapa Gading Timur, Kec. Kelapa Gading. Ada pembangunan penambahan lantai ke-3, dengan struktur bangunan lama 2 lantai, juga tidak ada plang kuning (ijin IMB). Kami sangat menghawatirkan kekuatan bangunan dan keselamatan tetangga-tetangganya.",Infrastruktur,"Judul: Bangunan tanpa IMB di Kelapa Gading
Laporan: Yth. Pemprov DKI Jakarta, tolong diperiksa bangunan di Jl. Kelapa Puyuh 5 Blok KF No 32 RT 004 RW 019 Kelurahan Kelapa Gading Timur, Kec. Kelapa Gading. Ada pembangunan penambahan lantai ke-3, dengan struktur bangunan lama 2 lantai, juga tidak ada plang kuning (ijin IMB). Kami sangat menghawatirkan kekuatan bangunan dan keselamatan tetangga-tetangganya.",high,report,"Jl. Kelapa Puyuh 5 Blok KF No 32 RT 004 RW 019 Kelurahan Kelapa Gading Timur, Kec. Kelapa Gading",bangunan tanpa IMB yang menambah lantai,negatif,Bangunan ilegal di Kelapa Gading menambah lantai
235543,Pertanyaan mengenai Besar Dana BOS untuk Murid Sekolah Dasar,"aya mau tanya, berapa bantuan dana Bantuan Operasional Sekolah untuk murid Sekolah Dasar? Karena di SD Swasta Widuri 3 Taman sari, Jakarta Barat, dana BOS yang diterima per murid hanya Rp. 40.000,- per tahun saat ulangan mid semester dengan perincian sebagai berikut:uang mid semester Rp. 80.000,-bantuan BOS Rp. 20.000,----------jumlah dibayar murid Rp. 60.000,-jadi 2 kali mid semester (2 x Rp. 20.000,- Rp. 40.000 per tshunv v )Apakah memang seperti itu? Jika menyimpang tolong ditindaklanjuti.Terima kasih.",Pendidikan,"Judul: Pertanyaan mengenai Besar Dana BOS untuk Murid Sekolah Dasar
Laporan: aya mau tanya, berapa bantuan dana Bantuan Operasional Sekolah untuk murid Sekolah Dasar? Karena di SD Swasta Widuri 3 Taman sari, Jakarta Barat, dana BOS yang diterima per murid hanya Rp. 40.000,- per tahun saat ulangan mid semester dengan perincian sebagai berikut:uang mid semester Rp. 80.000,-bantuan BOS Rp. 20.000,----------jumlah dibayar murid Rp. 60.000,-jadi 2 kali mid semester (2 x Rp. 20.000,- Rp. 40.000 per tshunv v )Apakah memang seperti itu? Jika menyimpang tolong ditindaklanjuti.Terima kasih.",low,question,"SD Swasta Widuri 3 Taman Sari, Jakarta Barat",Bantuan Dana BOS untuk murid SD,netral,Mengenai besaran dana BOS per murid SD
236813,"Pengurusan KK dan KTP Lama, Urusan Penduduk OKU Selatan, Sumatera Selatan Terhambat","Kepada Yth. Kementerian Dalam Negeri Republik Indonesia,Tolong ditindak tegas Kepala Dinas Catatan Sipil di Kabupaten Ogan Komering Ulu Selatan, Sumatera Selatan.Kami masyarakat sering terhambat ingin berobat atau berurusan dengan pihak bank. Karena Kartu Keluarga dan Kartu Tanda Penduduk yang kami buat lama sekali selesai, bahkan hingga berbulan-bulan dengan banyak alasan yang tidak jelas.Bupati kami tidak tegas menindaklanjuti hal ini.Tolong bantu kami untuk membetulkan kinerja Dinas, demi kebaikan masyarakat khususnya kalangan menengah ke bawah.",Administrasi,"Judul: Pengurusan KK dan KTP Lama, Urusan Penduduk OKU Selatan, Sumatera Selatan Terhambat
Laporan: Kepada Yth. Kementerian Dalam Negeri Republik Indonesia,Tolong ditindak tegas Kepala Dinas Catatan Sipil di Kabupaten Ogan Komering Ulu Selatan, Sumatera Selatan.Kami masyarakat sering terhambat ingin berobat atau berurusan dengan pihak bank. Karena Kartu Keluarga dan Kartu Tanda Penduduk yang kami buat lama sekali selesai, bahkan hingga berbulan-bulan dengan banyak alasan yang tidak jelas.Bupati kami tidak tegas menindaklanjuti hal ini.Tolong bantu kami untuk membetulkan kinerja Dinas, demi kebaikan masyarakat khususnya kalangan menengah ke bawah.",medium,complaint,"Kabupaten Ogan Komering Ulu Selatan, Sumatera Selatan",Pengurusan Kartu Keluarga dan Kartu Tanda Penduduk,negatif,Masyarakat mengeluh pengurusan KK dan KTP lama di OKU Selatan
240870,Pemutusan Sepihak Tunjangan Khusus Guru di SMP Negeri 2 Daha Selatan,"Pemutusan Sepihak Tunjangan Khusus Guru di SMP Negeri 2 Daha SelatanKab. Hulu Sungai SelatanKec. Daha BaratProvinsi Kalimantan SelatanLAPORAN:Kepada Yth.,Bapak Menteri Pendidikan dan Kebudayaan.Kami dari SMP Negeri 2 Daha Selatan.Tahun 2012 Kami Menerima Tunjangan Khusus, Namun di Tahun 2013 Kami merasa di diskriminasikan oleh Dinas Pendidikan Kab Kota.Dins Pendidikan dalam memilih kriteria bertentangan dengan petunjuk tekniscontohnya data yang di usulkan :1. Calon Penerima Tunjangan Khusus belum sertifikasi2. masa kerjanya yang paling rendah3. diutamakan sekolah dasarKami dari Dewan Guru melapor karena kecamatan kami. Kecamatan Daha Barat masuk kategori sangat terpencil,dan sekolah kami satu satunya SMP yang ada di kecamatan tersebut. Dalam SK Bupati Tahun 2012 sekolah kami termasuk katagori sangat terpencil, sehingga diberikan tunjangan khusus dari pusat. Tapi sekarang, tunjangan khusus kami tidak diusulkan secara sepihak oleh Dinas Pendidikan Kabupaten Hulu Sungai SelatanBagaimana aturan yang sebenarnya? Tolong kami.No HP.085386320345",Pendidikan,"Judul: Pemutusan Sepihak Tunjangan Khusus Guru di SMP Negeri 2 Daha Selatan
Laporan: Pemutusan Sepihak Tunjangan Khusus Guru di SMP Negeri 2 Daha SelatanKab. Hulu Sungai SelatanKec. Daha BaratProvinsi Kalimantan SelatanLAPORAN:Kepada Yth.,Bapak Menteri Pendidikan dan Kebudayaan.Kami dari SMP Negeri 2 Daha Selatan.Tahun 2012 Kami Menerima Tunjangan Khusus, Namun di Tahun 2013 Kami merasa di diskriminasikan oleh Dinas Pendidikan Kab Kota.Dins Pendidikan dalam memilih kriteria bertentangan dengan petunjuk tekniscontohnya data yang di usulkan :1. Calon Penerima Tunjangan Khusus belum sertifikasi2. masa kerjanya yang paling rendah3. diutamakan sekolah dasarKami dari Dewan Guru melapor karena kecamatan kami. Kecamatan Daha Barat masuk kategori sangat terpencil,dan sekolah kami satu satunya SMP yang ada di kecamatan tersebut. Dalam SK Bupati Tahun 2012 sekolah kami termasuk katagori sangat terpencil, sehingga diberikan tunjangan khusus dari pusat. Tapi sekarang, tunjangan khusus kami tidak diusulkan secara sepihak oleh Dinas Pendidikan Kabupaten Hulu Sungai SelatanBagaimana aturan yang sebenarnya? Tolong kami.No HP.085386320345",medium,report,"SMP Negeri 2 Daha Selatan, Kecamatan Daha Barat, Hulu Sungai Selatan, Kalimantan Selatan",pemutusan sepihak tunjangan khusus guru,negatif,Guru di SMP Negeri 2 Daha Selatan merasa diskriminasi dalam penentuan tunjangan.
